Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm,RainToday,RISK_MM,RainTomorrow
2013-03-01,Uluru,19.7,30,0.8,NA,NA,ESE,48,E,E,30,24,76,54,1010.6,1007.5,NA,NA,21.7,28.4,No,0,No
2013-03-02,Uluru,21.6,33.1,0,NA,NA,E,33,E,N,22,11,44,33,1010.5,1006.5,NA,NA,24.6,31.3,No,0,No
2013-03-03,Uluru,21.3,36.1,0,NA,NA,E,33,ENE,SSE,24,13,39,27,1006.9,1002.7,NA,NA,27.6,34.5,No,0,No
2013-03-04,Uluru,22.9,37.7,0,NA,NA,ENE,39,E,SSE,28,13,35,22,1006,1002.1,NA,NA,28.7,35.4,No,0,No
2013-03-05,Uluru,24,39,0,NA,NA,S,39,E,S,20,19,33,21,1006.9,1003.5,NA,NA,29.9,37.3,No,0,No
2013-03-06,Uluru,24.3,39.7,0,NA,NA,S,46,E,SW,22,15,36,17,1007.9,1003.9,NA,NA,30.4,38.1,No,0,No
2013-03-07,Uluru,26.6,38.6,0,NA,NA,WSW,33,E,SSE,24,15,41,21,1008.3,1004.5,NA,NA,29.9,37.1,No,0,No
2013-03-08,Uluru,26.9,39.4,0,NA,NA,SSE,54,E,SSW,13,15,39,24,1008.9,1005.1,NA,NA,30.9,36.8,No,0,No
2013-03-09,Uluru,24.4,40,0,NA,NA,SE,54,ESE,NE,22,9,54,24,1010.4,1005.9,NA,NA,28.6,37.5,No,0,No
2013-03-10,Uluru,25.4,39.8,0,NA,NA,NE,37,E,SE,24,13,40,20,1010.7,1006.8,NA,NA,31,37.7,No,0,No
2013-03-11,Uluru,23.9,39.5,0,NA,NA,ENE,41,NNE,E,17,19,26,13,1010.3,1006,NA,NA,31.9,37.9,No,0,No
2013-03-12,Uluru,20.6,40.9,0,NA,NA,S,57,ENE,NE,15,7,22,13,1009.2,1005.3,NA,NA,32,39.7,No,0,No
2013-03-13,Uluru,22.3,37.3,0,NA,NA,S,52,SSE,SSW,28,19,56,24,1012.6,1008.5,NA,NA,24.1,34.6,No,0,No
2013-03-14,Uluru,19.8,33.8,0,NA,NA,ESE,39,ESE,SE,26,11,34,24,1013.8,1009.4,NA,NA,23.3,32.7,No,0,No
2013-03-15,Uluru,17.2,35.9,0,NA,NA,E,35,E,E,24,7,29,13,1015.3,1010.7,NA,NA,23.5,34.6,No,0,No
2013-03-16,Uluru,19.1,37.9,0,NA,NA,SE,43,E,ESE,22,22,20,10,1016.1,1012.7,NA,NA,27.9,36.9,No,0,No
2013-03-17,Uluru,21.9,35.4,0,NA,NA,ESE,46,ESE,SE,33,17,33,20,1018.6,1013.7,NA,NA,26.4,34.2,No,0,No
2013-03-18,Uluru,19.6,34.9,0,NA,NA,E,35,E,SSE,26,17,32,20,1016.3,1012,NA,NA,24.4,33.5,No,0,No
2013-03-19,Uluru,20,36.6,0,NA,NA,E,30,E,ENE,22,19,17,15,1015.6,1011.5,NA,NA,25.5,34.9,No,0,No
2013-03-20,Uluru,19.7,39.6,0,NA,NA,WSW,30,ENE,NNW,9,11,17,13,1014.8,1009.3,NA,NA,27.5,37.8,No,0,No
2013-03-21,Uluru,25.9,39.8,0,NA,NA,SSW,39,S,SW,22,19,25,17,1010.4,1006.7,NA,NA,33.2,38.7,No,0,No
2013-03-22,Uluru,22.9,37.8,0,NA,NA,S,35,SE,SSE,20,17,39,17,1013.9,1010.2,NA,NA,25.5,36.1,No,0.4,No
2013-03-23,Uluru,22.4,34.6,0.4,NA,NA,E,46,E,ESE,28,22,41,25,1014.9,1012.2,NA,NA,24.5,32.6,No,0,No
2013-03-24,Uluru,22.5,37.2,0,NA,NA,SSW,61,E,NNE,26,20,28,21,1015.6,1011.1,NA,NA,28.1,35.4,No,0,No
2013-03-25,Uluru,21.3,32.5,0,NA,NA,SSW,48,SE,NNE,9,19,55,54,1015.3,1011.1,NA,NA,23.5,26.9,No,0,No
2013-03-26,Uluru,19.6,38,0,NA,NA,N,46,ENE,N,26,26,20,22,1010.1,1004.5,NA,NA,28.4,36.7,No,0,No
2013-03-27,Uluru,25.4,34.7,0,NA,NA,SW,50,S,SW,15,17,61,39,1009.7,1006.6,NA,NA,26.8,32.7,No,40.2,Yes
2013-03-28,Uluru,16.9,20,40.2,NA,NA,ESE,46,SE,ESE,22,30,98,71,1018.1,1016.6,NA,NA,17.7,19.5,Yes,0.4,No
2013-03-29,Uluru,14.9,26.5,0.4,NA,NA,E,50,E,ESE,31,22,58,49,1017,1012.9,NA,NA,17.5,24.7,No,7.2,Yes
2013-03-31,Uluru,14.4,23.4,NA,NA,NA,ESE,43,NA,ESE,NA,24,NA,56,NA,1015.2,NA,NA,NA,21.7,NA,0,No
2013-04-01,Uluru,13.6,27.3,0,NA,NA,E,44,ESE,ESE,24,26,61,36,1020.1,1016.6,NA,NA,19.3,25.8,No,0,No
2013-04-02,Uluru,16,27.7,0,NA,NA,E,44,E,SE,28,20,46,29,1019.9,1016.3,NA,NA,20.9,25.9,No,0,No
2013-04-03,Uluru,15,29.9,0,NA,NA,E,46,ESE,ENE,26,22,43,23,1019.1,1014.8,NA,NA,21.5,28.8,No,0,No
2013-04-04,Uluru,15.4,29.7,0,NA,NA,ENE,44,E,ESE,22,13,40,23,1019.6,1015.5,NA,NA,21.9,28.2,No,0,No
2013-04-05,Uluru,19.3,29.1,0,NA,NA,ENE,35,E,NE,24,6,36,28,1019.4,1015.8,NA,NA,23,28.8,No,0,No
2013-04-06,Uluru,14.5,31.5,0,NA,NA,NE,39,SE,E,6,24,51,25,1018.7,1014,NA,NA,22.4,30.2,No,0,No
2013-04-07,Uluru,17.4,32.7,0,NA,NA,E,39,ESE,E,17,15,33,18,1017.9,1014.3,NA,NA,24.4,31.2,No,0,No
2013-04-08,Uluru,17.2,32.3,0,NA,NA,E,43,E,SE,20,24,35,18,1019.7,1015.8,NA,NA,24.3,32,No,0,No
2013-04-09,Uluru,17.1,31.7,0,NA,NA,E,46,E,ESE,19,26,31,16,1020.7,1016.3,NA,NA,24.2,30.3,No,0,No
2013-04-10,Uluru,14.9,31.8,0,NA,NA,SE,52,ESE,ESE,15,22,30,16,1019.8,1015.4,NA,NA,23.2,30.5,No,0,No
2013-04-11,Uluru,14.8,31.1,0,NA,NA,ESE,50,ESE,ESE,13,24,30,16,1018.5,1014.9,NA,NA,22.5,29.9,No,0,No
2013-04-12,Uluru,15.1,30.6,0,NA,NA,E,43,E,ESE,20,19,28,17,1018.4,1014.4,NA,NA,24,29.5,No,0,No
2013-04-13,Uluru,11.8,32,0,NA,NA,ENE,30,E,SW,9,9,34,16,1017.2,1013.4,NA,NA,21.3,30.4,No,0,No
2013-04-14,Uluru,15,33.7,0,NA,NA,SSW,28,E,WSW,4,7,31,14,1015.2,1010.9,NA,NA,24.2,33.4,No,0,No
2013-04-15,Uluru,18.5,32.4,0,NA,NA,SE,30,SE,SSW,20,17,34,26,1013.1,1009.7,NA,NA,25.5,30.7,No,0,No
2013-04-16,Uluru,15.5,29.9,0,NA,NA,ENE,35,E,E,24,4,48,29,1015.9,1011.8,NA,NA,21.7,29.3,No,0,No
